"Key","Series","Value"
"2021-04-26","XA.CAN.03.03.3008.01.001",3223
"2021-04-27","XA.CAN.03.03.3008.01.001",3221
"2021-04-28","XA.CAN.03.03.3008.01.001",3222
"2021-04-29","XA.CAN.03.03.3008.01.001",3207
"2021-04-30","XA.CAN.03.03.3008.01.001",3204
"2021-05-01","XA.CAN.03.03.3008.01.001",3208
"2021-05-02","XA.CAN.03.03.3008.01.001",3203
"2021-05-03","XA.CAN.03.03.3008.01.001",3206
"2021-05-04","XA.CAN.03.03.3008.01.001",3203
"2021-05-05","XA.CAN.03.03.3008.01.001",3205
"2021-05-06","XA.CAN.03.03.3008.01.001",3205
"2021-05-07","XA.CAN.03.03.3008.01.001",3203
"2021-05-08","XA.CAN.03.03.3008.01.001",3202
"2021-05-09","XA.CAN.03.03.3008.01.001",3199
"2021-05-10","XA.CAN.03.03.3008.01.001",3198
"2021-05-11","XA.CAN.03.03.3008.01.001",3200
"2021-05-12","XA.CAN.03.03.3008.01.001",3198
"2021-05-13","XA.CAN.03.03.3008.01.001",3211
"2021-05-14","XA.CAN.03.03.3008.01.001",3195
"2021-05-15","XA.CAN.03.03.3008.01.001",3199
"2021-05-16","XA.CAN.03.03.3008.01.001",3199
"2021-05-17","XA.CAN.03.03.3008.01.001",3221
"2021-05-18","XA.CAN.03.03.3008.01.001",3246
"2021-05-19","XA.CAN.03.03.3008.01.001",3248
"2021-05-20","XA.CAN.03.03.3008.01.001",3249
"2021-05-21","XA.CAN.03.03.3008.01.001",3248
"2021-05-22","XA.CAN.03.03.3008.01.001",3230
"2021-05-23","XA.CAN.03.03.3008.01.001",3232
"2021-05-24","XA.CAN.03.03.3008.01.001",3233
"2021-05-25","XA.CAN.03.03.3008.01.001",3232
"2021-05-26","XA.CAN.03.03.3008.01.001",3228
"2021-05-27","XA.CAN.03.03.3008.01.001",3229
"2021-05-28","XA.CAN.03.03.3008.01.001",3232
"2021-05-29","XA.CAN.03.03.3008.01.001",3225
"2021-05-30","XA.CAN.03.03.3008.01.001",3227
"2021-05-31","XA.CAN.03.03.3008.01.001",3226
"2021-06-01","XA.CAN.03.03.3008.01.001",3230
"2021-06-02","XA.CAN.03.03.3008.01.001",3226
"2021-06-03","XA.CAN.03.03.3008.01.001",3223
"2021-06-04","XA.CAN.03.03.3008.01.001",3225
"2021-06-05","XA.CAN.03.03.3008.01.001",3222
"2021-06-06","XA.CAN.03.03.3008.01.001",3222
"2021-06-07","XA.CAN.03.03.3008.01.001",3221
"2021-06-08","XA.CAN.03.03.3008.01.001",3228
"2021-06-09","XA.CAN.03.03.3008.01.001",3221
"2021-06-10","XA.CAN.03.03.3008.01.001",3221
"2021-06-11","XA.CAN.03.03.3008.01.001",3222
"2021-06-12","XA.CAN.03.03.3008.01.001",3224
"2021-06-13","XA.CAN.03.03.3008.01.001",3228
"2021-06-14","XA.CAN.03.03.3008.01.001",3229
"2021-06-15","XA.CAN.03.03.3008.01.001",3224
"2021-06-16","XA.CAN.03.03.3008.01.001",3228
"2021-06-17","XA.CAN.03.03.3008.01.001",3228
"2021-06-18","XA.CAN.03.03.3008.01.001",3224
"2021-06-19","XA.CAN.03.03.3008.01.001",3220
"2021-06-20","XA.CAN.03.03.3008.01.001",3223
"2021-06-21","XA.CAN.03.03.3008.01.001",3226
"2021-06-22","XA.CAN.03.03.3008.01.001",3222
"2021-06-23","XA.CAN.03.03.3008.01.001",0
"2021-06-24","XA.CAN.03.03.3008.01.001",0
"2021-06-25","XA.CAN.03.03.3008.01.001",0
"2021-06-26","XA.CAN.03.03.3008.01.001",0
"2021-06-27","XA.CAN.03.03.3008.01.001",0
"2021-06-28","XA.CAN.03.03.3008.01.001",0
"2021-06-29","XA.CAN.03.03.3008.01.001",0
"2021-06-30","XA.CAN.03.03.3008.01.001",3224
"2021-07-01","XA.CAN.03.03.3008.01.001",3223
"2021-07-02","XA.CAN.03.03.3008.01.001",3225
"2021-07-03","XA.CAN.03.03.3008.01.001",3223
"2021-07-04","XA.CAN.03.03.3008.01.001",3223
"2021-07-05","XA.CAN.03.03.3008.01.001",3227
"2021-07-06","XA.CAN.03.03.3008.01.001",3224
"2021-07-07","XA.CAN.03.03.3008.01.001",3230
"2021-07-08","XA.CAN.03.03.3008.01.001",3227
"2021-07-09","XA.CAN.03.03.3008.01.001",3224
"2021-07-10","XA.CAN.03.03.3008.01.001",3223
"2021-07-11","XA.CAN.03.03.3008.01.001",3229
"2021-07-12","XA.CAN.03.03.3008.01.001",3229
"2021-07-13","XA.CAN.03.03.3008.01.001",3226
"2021-07-14","XA.CAN.03.03.3008.01.001",3220
"2021-07-15","XA.CAN.03.03.3008.01.001",3223
"2021-07-16","XA.CAN.03.03.3008.01.001",3220
"2021-07-17","XA.CAN.03.03.3008.01.001",3219
"2021-07-18","XA.CAN.03.03.3008.01.001",3213
"2021-07-19","XA.CAN.03.03.3008.01.001",3216
"2021-07-20","XA.CAN.03.03.3008.01.001",3217
"2021-07-21","XA.CAN.03.03.3008.01.001",3217
"2021-07-22","XA.CAN.03.03.3008.01.001",3226
"2021-07-23","XA.CAN.03.03.3008.01.001",3218
"2021-07-24","XA.CAN.03.03.3008.01.001",3215
"2021-07-25","XA.CAN.03.03.3008.01.001",3216
"2021-07-26","XA.CAN.03.03.3008.01.001",3223
"2021-07-27","XA.CAN.03.03.3008.01.001",3217
"2021-07-28","XA.CAN.03.03.3008.01.001",3214
"2021-07-29","XA.CAN.03.03.3008.01.001",3217
"2021-07-30","XA.CAN.03.03.3008.01.001",3215
"2021-07-31","XA.CAN.03.03.3008.01.001",3234
"2021-08-01","XA.CAN.03.03.3008.01.001",3235
"2021-08-02","XA.CAN.03.03.3008.01.001",3236
"2021-08-03","XA.CAN.03.03.3008.01.001",3232
"2021-08-04","XA.CAN.03.03.3008.01.001",3235
"2021-08-05","XA.CAN.03.03.3008.01.001",3233
"2021-08-06","XA.CAN.03.03.3008.01.001",3236
"2021-08-07","XA.CAN.03.03.3008.01.001",3234
"2021-08-08","XA.CAN.03.03.3008.01.001",3235
"2021-08-09","XA.CAN.03.03.3008.01.001",3234
"2021-08-10","XA.CAN.03.03.3008.01.001",3233
"2021-08-11","XA.CAN.03.03.3008.01.001",3231
"2021-08-12","XA.CAN.03.03.3008.01.001",3234
"2021-08-13","XA.CAN.03.03.3008.01.001",3232
"2021-08-14","XA.CAN.03.03.3008.01.001",3235
"2021-08-15","XA.CAN.03.03.3008.01.001",3232
"2021-08-16","XA.CAN.03.03.3008.01.001",3234
"2021-08-17","XA.CAN.03.03.3008.01.001",3233
"2021-08-18","XA.CAN.03.03.3008.01.001",3220
"2021-08-19","XA.CAN.03.03.3008.01.001",3228
"2021-08-20","XA.CAN.03.03.3008.01.001",3228
"2021-08-21","XA.CAN.03.03.3008.01.001",3228
"2021-08-22","XA.CAN.03.03.3008.01.001",3222
"2021-08-23","XA.CAN.03.03.3008.01.001",3222
"2021-08-24","XA.CAN.03.03.3008.01.001",3221
"2021-08-25","XA.CAN.03.03.3008.01.001",3221
"2021-08-26","XA.CAN.03.03.3008.01.001",3224
"2021-08-27","XA.CAN.03.03.3008.01.001",3217
"2021-08-28","XA.CAN.03.03.3008.01.001",3222
"2021-08-29","XA.CAN.03.03.3008.01.001",3214
"2021-08-30","XA.CAN.03.03.3008.01.001",3216
"2021-08-31","XA.CAN.03.03.3008.01.001",3218
"2021-09-01","XA.CAN.03.03.3008.01.001",3218
"2021-09-02","XA.CAN.03.03.3008.01.001",3215
"2021-09-03","XA.CAN.03.03.3008.01.001",3218
"2021-09-04","XA.CAN.03.03.3008.01.001",3221
"2021-09-05","XA.CAN.03.03.3008.01.001",3216
"2021-09-06","XA.CAN.03.03.3008.01.001",3220
"2021-09-07","XA.CAN.03.03.3008.01.001",3214
"2021-09-08","XA.CAN.03.03.3008.01.001",3219
"2021-09-09","XA.CAN.03.03.3008.01.001",3226
"2021-09-10","XA.CAN.03.03.3008.01.001",3222
"2021-09-11","XA.CAN.03.03.3008.01.001",3227
"2021-09-12","XA.CAN.03.03.3008.01.001",3222
"2021-09-13","XA.CAN.03.03.3008.01.001",3224
"2021-09-14","XA.CAN.03.03.3008.01.001",3223
"2021-09-15","XA.CAN.03.03.3008.01.001",3220
"2021-09-16","XA.CAN.03.03.3008.01.001",3219
"2021-09-17","XA.CAN.03.03.3008.01.001",3220
"2021-09-18","XA.CAN.03.03.3008.01.001",3223
"2021-09-19","XA.CAN.03.03.3008.01.001",3226
"2021-09-20","XA.CAN.03.03.3008.01.001",3222
