Site ID,Class,Subclass,Status,Name,Make,Model,Cabinet,U Position,Slot Position,IP Address,Serial Number,Type,Function,Contact,Contact Team,Customer,Mounting,Form Factor,Created By,Request Number,Request Stage,Created On,Origin,Notes,PowerIQ Object ID,Integration Status,VM Manager,VM Manager Integration Status,VMware Status Update Date,Customer Service,Technical Support,Account Number,Node Code,Planning Expiration
GDS,Network,NetworkStack,Planned,G0000919,Opengear,IM7248-2-DAC-US,XA.CTU.04.03.0301.01.001,23,,,7.25E+13,,,,,,Rackable,Fixed,lu_d_zhang,,,04/17/2020 04:29:44-04,Import,,28102,,,,,,,,301,
CT Chengdu,Network,NetworkStack,Planned,G0000920,Opengear,IM7248-2-DAC_IW,XA.CTU.01.01.X1N1.01.001,23,,,7.25E+13,,,,,,Rackable,Fixed,lu_d_zhang,,,12/21/2020 21:02:23-05,Import,,27487,,,,,,,,X1N1,
CM Guangzhou,Network,NetworkStack,Installed,G0000921,Fortinet,FortiGate 100EF,XA.CAN.02.05.0504.01.001,13,,,FG1HEFTK19000181,,,,,,Rackable,Fixed,pei_ye,,,03/23/2020 05:29:35-04,Import,,2516,,,,,,,,504,
DR Peng Beijing,Network,NetworkStack,Planned,G0000922,Fortinet,FortiGate 100EF,XA.BJS.04.01.MD09.01.001,13,,,FG1HEFTK19000014,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:40-05,Import,,28062,,,,,,,,MD09,
DR Peng Guangzhou,Network,NetworkStack,Planned,G0000923,Opengear,IM7248-2-DAC-US,XA.CAN.04.01.MD02.01.001,10,,,7.25E+13,,,,,,Rackable,Fixed,pei_ye,,,04/13/2020 03:46:54-04,Import,,27302,,,,,,,,MD02,
CU Guangzhou,Network,NetworkStack,Planned,G0000924,Opengear,IM7248-2-DAC-US,XA.CAN.03.03.3008.01.001,23,,,7.25E+13,,,,,,Rackable,Fixed,allen_lin4,,,03/05/2020 20:56:24-05,Client,,1945,,,,,,,,3008,
CM Beijing,Network,NetworkStack,Planned,G0000925,Arista Networks,DCS-7280SR-48C6-F,XA.BJS.02.02.2009.01.002,27,,,JPE19392245,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:41-05,Import,,2256,,,,,,,,2009,
CM Beijing,Network,NetworkStack,Planned,G0000926,Arista Networks,DCS-7280SR-48C6-F,XA.BJS.02.02.2009.01.001,21,,,SGD19351769,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:43-05,Import,,2261,,,,,,,,2009,
CU Beijing,Network,NetworkStack,Planned,G0000927,Arista Networks,DCS-7060SX2-48YC6-F,XA.BJS.03.04.L4M2.01.010,26,,,JPE19352933,,,,,,Rackable,Fixed,lu_d_zhang,,,06/10/2020 08:14:32-04,Client,,2115,,,,,,,,L4M2,
DR Peng Beijing,Network,NetworkStack,Planned,G0000928,Arista Networks,DCS-7060SX2-48YC6-R,XA.BJS.04.01.MD09.01.003,26,,,JPE19353011,,,,,,Rackable,Fixed,admin,,,01/29/2020 14:22:57-05,Import,,28051,,,,,,,,MD09,
CU Beijing,Network,NetworkStack,Planned,G0000930,NOKIA,7750 SR-1s,XA.BJS.03.04.L4M2.01.001,4,,,NS1942F0109,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:46-05,Import,,2173,,,,,,,,L4M2,
CT Chengdu,Network,NetworkStack,Planned,G0000931,Arista Networks,DCS-7060SX2-48YC6-R,XA.CTU.01.01.X1N1.01.004,26,,,JPE19352935,,,,,,Rackable,Fixed,lu_d_zhang,,,12/21/2020 21:35:34-05,Import,,27472,,,,,,,,X1N1,
CT Chengdu,Network,NetworkStack,Planned,G0000932,NOKIA,7750 SR-1s,XA.CTU.01.01.X1N1.01.001,4,,,NS1951F6652,,,,,,Rackable,Fixed,lu_d_zhang,,,12/21/2020 21:05:11-05,Import,,27480,,,,,,,,X1N1,
CU Beijing,Network,NetworkStack,Planned,G0000933,NOKIA,7750 SR-1s,XA.BJS.03.04.L4M2.01.002,4,,,NS1930F0059,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:47-05,Import,,2175,,,,,,,,L4M2,
CT Wuhan,Network,NetworkStack,Planned,G0000936,NOKIA,7750 SR-1s,XA.WUH.01.02.0204.01.002,4,,,NS1949F5217,,,,,,Rackable,Fixed,pei_ye,,,01/28/2021 00:31:43-05,Import,,27346,,,,,,,,204,
DR Peng Guangzhou,Network,NetworkStack,Planned,G0000937,Opengear,IM7248-2-DAC-US,XA.CAN.04.01.MD02.01.001,23,,,7.25E+13,,,,,,Rackable,Fixed,pei_ye,,,04/13/2020 03:46:48-04,Import,,28085,,,,,,,,MD02,
CU Guangzhou,Network,NetworkStack,Planned,G0000939,Arista Networks,DCS-7060SX2-48YC6-R,XA.CAN.03.03.3008.01.004,26,,,JPE19353077,,,,,,Rackable,Fixed,admin,,,01/29/2020 14:23:00-05,Import,,1916,,,,,,,,3008,
CU Wuhan,Network,NetworkStack,Planned,G0000940,NOKIA,7750 SR-1s,XA.WUH.03.04.0404.01.001,4,,,NS1952F5373,,,,,,Rackable,Fixed,lu_d_zhang,,,10/09/2020 22:32:42-04,Import,,4509,,,,,,,,404,
CU Wuhan,Network,NetworkStack,Planned,G0000941,NOKIA,7750 SR-1s,XA.WUH.03.04.0404.01.002,4,,,NS2001F5191,,,,,,Rackable,Fixed,lu_d_zhang,,,10/09/2020 22:33:08-04,Import,,4516,,,,,,,,404,
CT Guangzhou,Network,NetworkStack,Planned,G0000942,NOKIA,7750 SR-1s,XA.CAN.01.07.0002.01.001,4,,,SNS1952F5538,,,,,,Rackable,Fixed,lu_d_zhang,,,05/06/2021 22:59:21-04,Import,,27849,,,,,,,,2,
DR Peng Beijing,Network,NetworkStack,Planned,G0000944,NOKIA,7750 SR-1s,XA.BJS.04.01.MD09.01.001,4,,,NS1943F0203,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:50-05,Import,,28057,,,,,,,,MD09,
CM Beijing,Network,NetworkStack,Planned,G0000945,Arista Networks,DCS-7010T-48-F,XA.BJS.02.02.2009.01.005,28,,,JPE18462757,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:52-05,Import,,2281,,,,,,,,2009,
CM Beijing,Network,NetworkStack,Planned,G0000946,Opengear,IM7248-2-DAC_IW,XA.BJS.02.02.2009.01.001,10,,,7.25E+13,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:40:45-05,Import,,2260,,,,,,,,2009,
GDS,Network,NetworkStack,Planned,G0000951,NOKIA,7750 SR-1s,XA.CTU.04.03.0301.01.001,4,,,NS1947F5779,,,,,,Rackable,Fixed,lu_d_zhang,,,04/17/2020 04:29:51-04,Import,,27607,,,,,,,,301,
